hostname,owner,department,ip_address,subnet,gateway,status,last_seen,location,cost_center,asset_tag,monthly_cost,serial_number,purchase_date,warranty_expiration,retirement_date,
LAXITSPC007,Andrew Taylor,IT,192.168.100.45,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00017,65,SN-100017,2023-07-10,2026-07-10,2029-01-15,
LAXITSPC008,Joshua Moore,IT,192.168.100.46,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00018,52,SN-100018,2024-01-15,2027-01-15,2029-01-15,
LAXITSPC009,Kenneth Jackson,IT,192.168.100.47,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00019,48,SN-100019,2023-09-10,2026-09-10,2029-01-15,
LAXITSPC010,Kevin Martin,IT,192.168.100.48,192.168.100.32/27,192.168.100.33,Online,6/20/2026,Los Angeles,IT-2000,AT-00020,70,SN-100020,2024-01-15,2027-01-15,2029-01-15,
LAXHRPC001,Brian Lee,HR,192.168.100.71,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00021,70,SN-100021,2024-01-20,2027-01-20,2029-01-15,
LAXHRPC002,George Perez,HR,192.168.100.72,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00022,41,SN-100022,2024-02-01,2027-02-01,2029-01-15,
LAXHRPC003,Edward Thompson,HR,192.168.100.73,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00023,60,SN-100023,2024-03-20,2027-03-20,2029-01-15,
LAXHRPC004,Ronald White,HR,192.168.100.74,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00024,41,SN-100024,2024-02-01,2027-02-01,2029-01-15,
LAXHRPC005,Timothy Harris,HR,192.168.100.75,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00025,70,SN-100025,2024-05-20,2027-05-20,2029-01-15,
LAXHRPC006,Jason Sanchez,HR,192.168.100.76,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00026,65,SN-100026,2024-06-20,2027-06-20,2029-01-15,
LAXHRPC007,Jeffrey Clark,HR,192.168.100.77,192.168.100.64/27,192.168.100.65,Offline,5/15/2026,Los Angeles,HR-4001,AT-00027,41,SN-100027,2024-02-01,2027-02-01,2029-01-15,
LAXHRPC008,Ryan Ramirez,HR,192.168.100.78,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00028,70,SN-100028,2024-08-20,2027-08-20,2029-01-15,
LAXHRPC009,Jacob Lewis,HR,192.168.100.79,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00029,41,SN-100029,2024-02-01,2027-02-01,2029-01-15,
LAXHRPC010,Gary Robinson,HR,192.168.100.80,192.168.100.64/27,192.168.100.65,Online,6/20/2026,Los Angeles,HR-4001,AT-00030,73,SN-100030,2024-10-20,2027-10-20,2029-01-15,
LAXMKTPC001,Nicholas Walker,Marketing,192.168.100.103,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00031,70,SN-100031,2024-01-25,2027-01-25,2029-01-15,
LAXMKTPC002,Eric Young,Marketing,192.168.100.104,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00032,65,SN-100032,2024-02-25,2027-02-25,2029-01-15,
LAXMKTPC003,Jonathan Allen,Marketing,192.168.100.105,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00033,70,SN-100033,2024-03-25,2027-03-25,2029-01-15,
LAXMKTPC004,Stephen King,Marketing,192.168.100.106,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00034,55,SN-100034,2024-04-25,2027-04-25,2029-01-15,
LAXMKTPC005,Larry Wright,Marketing,192.168.100.107,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00035,39,SN-100035,2024-03-01,2027-03-01,2029-01-15,
LAXMKTPC006,Justin Scott,Marketing,192.168.100.108,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00036,44,SN-100036,2024-06-25,2027-06-25,2029-01-15,
LAXMKTPC007,Scott Torres,Marketing,192.168.100.109,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00037,70,SN-100037,2024-07-25,2027-07-25,2029-01-15,
LAXMKTPC008,Brandon Nguyen,Marketing,192.168.100.110,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00038,65,SN-100038,2024-08-25,2027-08-25,2029-01-15,
LAXMKTPC009,Benjamin Hill,Marketing,192.168.100.111,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00039,73,SN-100039,2024-09-25,2027-09-25,2029-01-15,
LAXMKTPC010,Samuel Flores,Marketing,192.168.100.112,192.168.100.96/27,192.168.100.97,Online,6/20/2026,Los Angeles,MKT-5001,AT-00040,39,SN-100040,2024-03-01,2027-03-01,2029-01-15,
LAXOPSPC001,Gregory Green,Operations,192.168.100.135,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00041,65,SN-100041,2023-01-05,2026-01-05,2029-01-15,
LAXOPSPC002,Alexander Adams,Operations,192.168.100.136,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00042,40,SN-100042,2024-01-15,2027-01-15,2029-01-15,
LAXOPSPC003,Patrick Nelson,Operations,192.168.100.137,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00043,70,SN-100043,2023-03-05,2026-03-05,2029-01-15,
LAXOPSPC004,Jack Baker,Operations,192.168.100.138,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00044,40,SN-100044,2024-01-15,2027-01-15,2029-01-15,
LAXOPSPC005,Dennis Hall,Operations,192.168.100.139,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00045,73,SN-100045,2023-05-05,2026-05-05,2029-01-15,
LAXOPSPC006,Jerry Rivera,Operations,192.168.100.140,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00046,40,SN-100046,2024-01-15,2027-01-15,2029-01-15,
LAXOPSPC007,Tyler Campbell,Operations,192.168.100.141,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00047,39,SN-100047,2023-07-05,2026-07-05,2029-01-15,
LAXOPSPC008,Aaron Mitchell,Operations,192.168.100.142,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00048,40,SN-100048,2024-01-15,2027-01-15,2029-01-15,
LAXOPSPC009,Jose Carter,Operations,192.168.100.143,192.168.100.128/27,192.168.100.129,Online,6/20/2026,Los Angeles,OPS-3002,AT-00049,48,SN-100049,2023-09-05,2026-09-05,2029-01-15,
LAXOPSPC010,Adam Roberts,Operations,192.168.100.144,192.168.100.128/27,192.168.100.129,Offline,5/25/2026,Los Angeles,OPS-3002,AT-00050,35,SN-100050,2022-06-01,2025-06-01,2029-01-15,
